id,name,link
1,Aamir Khan,https://imdb.com/name/nm0451148/
2,Adam Elliot,https://imdb.com/name/nm0254178/
3,Adrian Molina,https://imdb.com/name/nm2937122/
4,Akira Kurosawa,https://imdb.com/name/nm0000041/
5,Alejandro G. Iñárritu,https://imdb.com/name/nm0327944/
6,Alfred Hitchcock,https://imdb.com/name/nm0000033/
7,Amole Gupte,https://imdb.com/name/nm1244760/
8,Andrew Stanton,https://imdb.com/name/nm0004056/
9,Anthony Russo,https://imdb.com/name/nm0751577/
10,Asghar Farhadi,https://imdb.com/name/nm1410815/
11,Billy Wilder,https://imdb.com/name/nm0000697/
12,Bob Persichetti,https://imdb.com/name/nm2130108/
13,Bob Peterson,https://imdb.com/name/nm0677037/
14,Bong Joon Ho,https://imdb.com/name/nm0094435/
15,Brad Bird,https://imdb.com/name/nm0083348/
16,Brian De Palma,https://imdb.com/name/nm0000361/
17,Bryan Singer,https://imdb.com/name/nm0001741/
18,Buster Keaton,https://imdb.com/name/nm0000036/
19,Carl Theodor Dreyer,https://imdb.com/name/nm0003433/
20,Carlos Martínez López,https://imdb.com/name/nm3582089/
21,Carol Reed,https://imdb.com/name/nm0715346/
22,Charles Chaplin,https://imdb.com/name/nm0000122/
23,Chris Sanders,https://imdb.com/name/nm0761498/
24,Christopher Nolan,https://imdb.com/name/nm0634240/
25,Clint Eastwood,https://imdb.com/name/nm0000142/
26,Clyde Bruckman,https://imdb.com/name/nm0115669/
27,Curtis Hanson,https://imdb.com/name/nm0000436/
28,Damien Chazelle,https://imdb.com/name/nm3227090/
29,Damián Szifron,https://imdb.com/name/nm1167933/
30,Danny Boyle,https://imdb.com/name/nm0000965/
31,Darren Aronofsky,https://imdb.com/name/nm0004716/
32,David Fincher,https://imdb.com/name/nm0000399/
33,David Lean,https://imdb.com/name/nm0000180/
34,David Lynch,https://imdb.com/name/nm0000186/
35,David Silverman,https://imdb.com/name/nm0798899/
36,David Yates,https://imdb.com/name/nm0946734/
37,Dean DeBlois,https://imdb.com/name/nm0213450/
38,Denis Villeneuve,https://imdb.com/name/nm0898288/
39,Elem Klimov,https://imdb.com/name/nm0459552/
40,Elia Kazan,https://imdb.com/name/nm0001415/
41,Ernst Lubitsch,https://imdb.com/name/nm0523932/
42,Ethan Coen,https://imdb.com/name/nm0001053/
43,Fernando Meirelles,https://imdb.com/name/nm0576987/
44,Florian Henckel von Donnersmarck,https://imdb.com/name/nm0003697/
45,Florian Zeller,https://imdb.com/name/nm1725469/
46,Francis Ford Coppola,https://imdb.com/name/nm0000338/
47,Frank Capra,https://imdb.com/name/nm0001008/
48,Frank Darabont,https://imdb.com/name/nm0001104/
49,François Truffaut,https://imdb.com/name/nm0000076/
50,Fritz Lang,https://imdb.com/name/nm0000485/
51,Gavin O'Connor,https://imdb.com/name/nm0640334/
52,Gene Kelly,https://imdb.com/name/nm0000037/
